pathway	gene family	gene	her19_v_herm log2FC	her19_v_herm adjusted p-value	male_v_her19 log2FC	male_v_her19 adjusted p-value	male_v_herm log2FC	male_v_herm adjusted p-value	her19-1	her19-2	her19-3	WT herm-1	WT herm-2	WT herm-3	male-1	male-2	male-3
BR signaling	BRI1	Ceric.29G061800	0.659376719716686	0.555746243835658	-0.888779608345725	0.319701015680639	0.294579579248956	0.91801422586489	7.01558087266755	7.50855578337768	8.33041246259862	7.25136512950377	5.59652490501926	6.5277961432347	6.9353718830613	7.12714435683034	6.85524822791241
BR signaling	BRI1	Ceric.21G054300	1.35686998921731	0.129495651603981	-5.52544074417011	4.19130543733527e-18	-3.41943891393274	0.000318908775703372	7.05943857804294	7.44505697197189	7.79096533985819	6.65920973294206	5.17856601638188	6.20233467685916	4.03293671465132	3.83266143415593	4.00631389968735
BR signaling	BRL2	Ceric.04G066800	0.0774969392029796	0.99999999998911	-2.66311333638262	1.91217752040963e-09	-2.40064599604946	7.69696974345443e-08	9.30115148546055	9.27957035140939	9.83481309508591	9.33646712216118	9.11711656388342	9.45935950432118	7.78037750330188	7.15104648048233	7.70478101760304
BR signaling	BRL2	Ceric.38G044500	0.110105893649973	0.99999999998911	-2.44252142290143	5.9980729458917e-07	-1.99903602840481	0.000567568825041003	8.47155455900186	8.5600332140679	9.06557760495021	8.5261291461602	7.9813288774255	8.70252510795935	7.22648852738833	6.54196606566349	6.96781949716027
BR signaling	BRL2	Ceric.15G059000	0.030099577216171	0.99999999998911	-2.06185086079917	0.0487727405658139	-1.77446882698883	0.0927754281279374	5.54769681186212	6.29589541484327	6.2752203867322	6.27915539636987	5.53056151524461	5.99554522597352	5.05966794291228	3.53487668950283	3.13491528165127
BR signaling	BRL2	Ceric.19G058600	0.18095945110906	0.99999999998911	0.446858405231821	0.822056668407345	0.886385920680445	0.301894611632523	6.76406975986336	7.00199234257018	6.92932176519407	6.58867834669253	6.57677880350034	6.58967793332148	7.02293240220391	7.23583901132686	7.52684914323149
BR signaling	BAK1	Ceric.03G010900	0.0142801491979056	0.99999999998911	-3.0878642336074	7.60124530873579e-33	-3.03516080094955	2.71334604580052e-26	10.2976726570694	10.2651962723573	10.3570735692969	10.2051489756962	10.2940480106707	10.3511114242021	8.30804548409609	8.10184887712965	7.95961474417347
BR signaling	BAK1	Ceric.14G001100	0.00642660063152988	0.99999999998911	0.0748730934960648	0.999999484702606	0.102703638117761	0.999996543961669	11.0897876106465	11.1169698042819	11.0825095552985	11.0345135831517	11.1421265800839	11.0893287075878	11.1872408543929	11.246224382186	11.0776779905728
BR signaling	BSK	Ceric.32G027900	0.010426999466774	0.99999999998911	-1.53528519622631	7.1929626782198e-11	-1.49044802362725	3.15123206265466e-08	11.6652715993834	11.7449550348355	11.7627759580231	11.7033605270739	11.747889160312	11.6825000281079	10.7273802550783	10.5561879428809	10.5689661963686
BR signaling	BSK	Ceric.28G000300	0.0642704103295826	0.99999999998911	-0.800059786950004	0.100827246872487	-0.626405922682034	0.619980973299109	11.5755146284632	11.4529452431768	11.4976275018103	11.3237947517146	11.5272999492193	11.3553561230065	10.9367043336435	10.8859892126141	10.9674472194298
BR signaling	BSK	Ceric.1Z013700	-0.0423892257618265	0.99999999998911	0.0491353375259465	0.999999484702606	-0.031613928469741	0.999996543961669	9.12388398965464	9.05887005922482	9.15137949119816	9.21052580917002	9.24130426824153	9.12160287636403	9.08520817145721	9.18703908071038	9.22554901959986
BR signaling	BSK	Ceric.14G091600	0.0801071541000695	0.99999999998911	0.144147831380453	0.999999484702606	0.334717431515722	0.999996543961669	8.94305495966036	8.97434324369836	8.83475161957404	8.91970180743662	8.77925217395754	8.59135220150707	9.03678706590259	8.97280119005805	9.13920730521324
